#Position (bp)	mapping quality
4123641.0	55.219481040585826
1.2370922E7	55.69470628339406
2.0618203E7	52.117278950339056
2.8865484E7	59.08665962747011
3.7112765E7	59.21184608296632
4.5360046E7	59.45363343380495
5.3607327E7	59.98526287906792
6.1854608E7	59.980276687094054
7.0101889E7	59.90514319550683
7.834917E7	59.94499496662747
8.6596451E7	59.928648109606534
9.4843732E7	59.995035709317996
1.03091013E8	53.48372797937311
1.11338294E8	59.23202753880768
1.19585575E8	55.041033039429365
1.27832856E8	0.0
1.36080137E8	0.0
1.44327418E8	38.970947297827
1.52574699E8	52.228941965860294
1.6082198E8	58.93367303593145
1.69069261E8	59.95241418709563
1.77316542E8	59.98651487568929
1.85563823E8	59.87898459377748
1.93811104E8	53.36759367089689
2.02058385E8	59.26914948392017
2.10305666E8	57.93992856352248
2.18552947E8	57.92237380228654
2.26800228E8	58.98629871708712
2.35047509E8	59.38537052118448
2.4329479E8	50.91904664701186
2.481874265E8	51.90650350711174
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.6072151446600785
2.49678084E8	0.0
2.52682327E8	55.388200127779974
2.59789352E8	59.987879339295624
2.68036633E8	44.956113260863056
2.76283914E8	59.96856107630595
2.84531195E8	59.843726475085845
2.92778476E8	59.975621959825446
3.01025757E8	59.996060140758644
3.09273038E8	59.98874381303698
3.17520319E8	59.98129346853825
3.257676E8	54.346240379216006
3.34014881E8	47.253679677436885
3.42262162E8	49.63198689680969
3.50509443E8	52.67272905589756
3.58756724E8	44.74887193076929
3.67004005E8	58.27806936306194
3.75251286E8	59.52058067661344
3.83498567E8	49.456519787779776
3.91745848E8	59.986942808421034
3.99993129E8	55.86999296769044
4.0824041E8	59.96819229199222
4.16487691E8	59.04461433642086
4.24734972E8	58.13152504267455
4.32982253E8	59.993831566978294
4.41229534E8	55.512230888552224
4.49476815E8	59.967021568501245
4.57724096E8	50.65044910417022
4.65971377E8	59.97230077989402
4.74218658E8	59.95236572681418
4.82465939E8	57.58288377702435
4.892410255E8	56.6992981727264
4.91973207E8	0.0
4.92130842E8	0.0
4.93522301E8	59.99678966987105
4.98960501E8	59.93059683809432
5.07207782E8	58.043208503068186
5.15455063E8	59.89234477375665
5.23702344E8	55.23991363743258
5.31949625E8	59.678685392593785
5.40196906E8	58.57644144606305
5.48444187E8	59.98510515685149
5.56691468E8	57.024800832125464
5.64938749E8	58.338161191229176
5.7318603E8	59.676186989613655
5.81433311E8	60.0
