#Insert size (bp)	insert size
380.0	14956.0
381.0	14630.0
382.0	14443.0
383.0	14633.0
384.0	14519.0
385.0	14590.0
386.0	14764.0
387.0	14645.0
388.0	14926.0
389.0	14629.0
390.0	14644.0
391.0	14279.0
392.0	14325.0
393.0	14304.0
394.0	14372.0
395.0	14241.0
396.0	14341.0
397.0	14433.0
398.0	14135.0
399.0	14122.0
400.0	14161.0
401.0	14134.0
402.0	13908.0
403.0	13971.0
404.0	13839.0
405.0	13788.0
406.0	13941.0
407.0	13716.0
408.0	13610.0
409.0	13725.0
410.0	13470.0
411.0	13428.0
412.0	13080.0
413.0	13329.0
414.0	13234.0
415.0	13366.0
416.0	13094.0
417.0	13119.0
418.0	12940.0
419.0	12963.0
420.0	12926.0
421.0	12806.0
422.0	12859.0
423.0	12572.0
424.0	12522.0
425.0	12558.0
426.0	12413.0
427.0	12623.0
428.0	12545.0
429.0	12139.0
430.0	12103.0
431.0	12137.0
432.0	12376.0
433.0	11817.0
434.0	11987.0
435.0	11842.0
436.0	11556.0
437.0	11720.0
438.0	11547.0
439.0	11314.0
440.0	11489.0
441.0	11413.0
442.0	11392.0
443.0	11352.0
444.0	11119.0
445.0	11015.0
446.0	11128.0
447.0	10802.0
448.0	10722.0
449.0	10608.0
450.0	10699.0
451.0	10486.0
452.0	10561.0
453.0	10346.0
454.0	10431.0
455.0	10604.0
456.0	10325.0
457.0	10237.0
458.0	10292.0
459.0	9994.0
460.0	10061.0
461.0	9778.0
462.0	9887.0
463.0	9923.0
464.0	9688.0
465.0	9662.0
466.0	9682.0
467.0	9614.0
468.0	9523.0
469.0	9318.0
470.0	9363.0
471.0	9135.0
472.0	9166.0
473.0	9105.0
474.0	8903.0
475.0	8800.0
476.0	8922.0
477.0	8728.0
478.0	8692.0
479.0	8695.0
480.0	8605.0
481.0	8611.0
482.0	8639.0
483.0	8474.0
484.0	8323.0
485.0	8373.0
486.0	8376.0
487.0	8272.0
488.0	7948.0
489.0	8138.0
490.0	7823.0
491.0	8079.0
492.0	7904.0
493.0	7796.0
494.0	7718.0
495.0	7735.0
496.0	7628.0
497.0	7720.0
498.0	7460.0
499.0	7570.0
500.0	7310.0
501.0	7278.0
502.0	7295.0
503.0	7094.0
504.0	7203.0
505.0	7165.0
506.0	7006.0
507.0	6938.0
508.0	7025.0
509.0	7092.0
510.0	6899.0
511.0	6777.0
512.0	6569.0
513.0	6603.0
514.0	6542.0
515.0	6457.0
516.0	6531.0
517.0	6359.0
518.0	6500.0
519.0	6424.0
520.0	6217.0
521.0	6255.0
522.0	5966.0
523.0	6175.0
524.0	6046.0
525.0	6019.0
526.0	5884.0
527.0	5795.0
528.0	5641.0
529.0	5660.0
530.0	5726.0
531.0	5432.0
532.0	5549.0
533.0	5487.0
534.0	5582.0
535.0	5443.0
536.0	5319.0
537.0	5311.0
538.0	5264.0
539.0	5322.0
540.0	5100.0
541.0	5078.0
542.0	5003.0
543.0	5078.0
544.0	5007.0
545.0	4898.0
546.0	5059.0
547.0	4732.0
548.0	4870.0
549.0	4701.0
550.0	4577.0
551.0	4685.0
552.0	4674.0
553.0	4528.0
554.0	4452.0
555.0	4390.0
556.0	4296.0
557.0	4352.0
558.0	4432.0
559.0	4257.0
560.0	4059.0
561.0	4017.0
562.0	4084.0
563.0	3998.0
564.0	4058.0
565.0	3934.0
566.0	3978.0
567.0	3904.0
568.0	3800.0
569.0	4000.0
570.0	3838.0
571.0	3809.0
572.0	3716.0
573.0	3692.0
574.0	3527.0
575.0	3638.0
576.0	3514.0
577.0	3495.0
578.0	3488.0
579.0	3350.0
580.0	3296.0
581.0	3258.0
582.0	3317.0
583.0	3244.0
584.0	3168.0
585.0	3203.0
586.0	3154.0
