#Read position (bp)	Clipping profile
0.0	1.3213107618825517
1.0	1.3185839466936198
2.0	1.285005165367058
3.0	1.2366756123517977
4.0	1.18356764033879
5.0	1.1163321686802683
6.0	1.0931152850716477
7.0	1.0644447710851634
8.0	1.0353587424032227
9.0	1.0014942947235346
10.0	0.9675519380384486
11.0	0.9471397786241582
12.0	0.924520197390256
13.0	0.9009916777600433
14.0	0.877722854814491
15.0	0.8531555484456375
16.0	0.8354702042202788
17.0	0.8180185870111144
18.0	0.7988270020147268
19.0	0.7807001734254461
20.0	0.7627291628469612
21.0	0.748186148505991
22.0	0.7345520725613313
23.0	0.7210997842959337
24.0	0.708842100779973
25.0	0.694662661797527
26.0	0.6830801896616828
27.0	0.6712639905096444
28.0	0.6589283979882856
29.0	0.6472420471785774
30.0	0.6357115143796652
31.0	0.6252976773247918
32.0	0.6146241435852582
33.0	0.6039506098457246
34.0	0.5941600448340356
35.0	0.5845512675016088
36.0	0.5768123062987354
37.0	0.5690993147643278
38.0	0.5604254454966777
39.0	0.552426787609144
40.0	0.54390873635229
41.0	0.5380915306159019
42.0	0.5323262642164458
43.0	0.5246652120189703
44.0	0.5187700972771842
45.0	0.5123555891660776
46.0	0.5064604744242914
47.0	0.5010847530518255
48.0	0.496020667700952
49.0	0.49074882500235023
50.0	0.48635995103159313
51.0	0.48233465241936024
52.0	0.47750429408468087
53.0	0.4733751167985839
54.0	0.46890833382242875
55.0	0.46532451957411824
56.0	0.4605720702448368
57.0	0.456520801964138
58.0	0.4532226540689536
59.0	0.44984659716837117
60.0	0.44652247960472086
61.0	0.4443150577851093
62.0	0.44293866535641035
63.0	0.4408870615475948
64.0	0.4388614274072455
65.0	0.4371214596200222
66.0	0.4365241572453038
67.0	0.4356931278543912
68.0	0.43371943305097377
69.0	0.43436867476262425
70.0	0.43278452498619707
71.0	0.43203140460068257
72.0	0.4311224662043719
73.0	0.4294344377540807
74.0	0.4292786197432846
75.0	0.42894101405322643
76.0	0.4285514690262361
77.0	0.4287851960424303
78.0	0.42917474106942055
79.0	0.43083679985124573
80.0	0.43164185957369233
81.0	0.4313042538836341
82.0	0.43421285675182814
83.0	0.43634236956604167
84.0	0.43761488332087656
85.0	0.44039363784674057
86.0	0.4429646350248764
87.0	0.4448084814859637
88.0	0.4468860549632451
89.0	0.4494051128044489
90.0	0.4522877460041769
91.0	0.45581962091555545
92.0	0.45932552615846794
93.0	0.4634806731130309
94.0	0.46862266746930253
95.0	0.47324526845625386
96.0	0.4773744457423508
97.0	0.4811660173383895
98.0	0.486074284678467
99.0	0.49116433969780654
100.0	0.4967997577549325
101.0	0.5034739625506992
102.0	0.5092651986186214
103.0	0.5158874640774561
104.0	0.5220163058354365
105.0	0.5301188423968343
106.0	0.5360658964755525
107.0	0.5440126150261541
108.0	0.5503751838003286
109.0	0.5581141450032021
110.0	0.5660089242168717
111.0	0.5743711574629295
112.0	0.5836163594368321
113.0	0.591796805003628
114.0	0.5991202515110452
115.0	0.6098197549190447
116.0	0.6181819881651027
117.0	0.6282322498614519
118.0	0.6385422082424611
119.0	0.648047106901024
120.0	0.659447791357606
121.0	0.6709783241565181
122.0	0.6830542199932167
123.0	0.694584752792129
124.0	0.7070242239873517
125.0	0.7216191776652541
126.0	0.7350714659306516
127.0	0.7503935703256025
128.0	0.7640016766017962
129.0	0.7777656008887859
130.0	0.7953990057772125
131.0	0.8123312296170564
132.0	0.8316526629557742
133.0	0.8486627958010162
134.0	0.8654392016300642
135.0	0.8901363563412477
136.0	0.9134571186237321
137.0	0.9368038505746829
138.0	0.9583846450699441
139.0	0.9787188954788365
140.0	1.0130767668593788
141.0	1.0451752770833778
142.0	1.075066365487765
143.0	1.1026980927356085
144.0	1.1252917043010446
145.0	1.1905015418192169
146.0	1.2450378455978555
147.0	1.2909262497773102
148.0	1.324556970440804
149.0	1.3268163315973476
