#Position (bp)	insert size
4123641.0	426.6556798116539
1.2370922E7	415.72804153508537
2.0618203E7	413.5586621036999
2.8865484E7	419.33357367255496
3.7112765E7	414.6945784395973
4.5360046E7	424.468787515006
5.3607327E7	401.4053409632809
6.1854608E7	389.76654127019253
7.0101889E7	383.25457570715474
7.834917E7	399.7337247893796
8.6596451E7	399.23380726698264
9.4843732E7	393.9697901591896
1.03091013E8	395.4041167274622
1.11338294E8	416.16559623915776
1.19585575E8	397.347476635514
1.27832856E8	0.0
1.36080137E8	0.0
1.44327418E8	402.1689723320158
1.52574699E8	423.27705925743794
1.6082198E8	419.6609018235018
1.69069261E8	393.835197508141
1.77316542E8	392.581568088033
1.85563823E8	394.8906876790831
1.93811104E8	403.61792588336687
2.02058385E8	413.6869269059471
2.10305666E8	405.4508056640625
2.18552947E8	399.3498944945329
2.26800228E8	412.3238225946258
2.35047509E8	401.6265727226975
2.4329479E8	405.950184144214
2.481874265E8	428.88818657367045
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	307.09090909090907
2.49528459E8	0.0
2.49636853E8	455.10714285714283
2.49678084E8	0.0
2.52682327E8	397.46153846153845
2.59789352E8	389.5548580786026
2.68036633E8	411.09890341628005
2.76283914E8	420.9687361172812
2.84531195E8	384.7455017020587
2.92778476E8	399.1133726120336
3.01025757E8	403.21510416666666
3.09273038E8	398.681076312307
3.17520319E8	401.2401366884126
3.257676E8	425.96746143057504
3.34014881E8	406.47075697211153
3.42262162E8	417.94299171674515
3.50509443E8	405.73165415354805
3.58756724E8	406.2014290217505
3.67004005E8	405.24822508545884
3.75251286E8	403.11967361740705
3.83498567E8	415.3095954967928
3.91745848E8	379.6923597025017
3.99993129E8	395.94016376233463
4.0824041E8	388.5225116091258
4.16487691E8	400.87166336402845
4.24734972E8	425.67471805729593
4.32982253E8	412.2082291866949
4.41229534E8	395.23297902901464
4.49476815E8	394.2752246732026
4.57724096E8	398.32962607861936
4.65971377E8	425.5738344165018
4.74218658E8	400.23900196979645
4.82465939E8	414.3835323817846
4.892410255E8	411.0797288573273
4.91973207E8	0.0
4.92130842E8	0.0
4.93522301E8	377.7319034852547
4.98960501E8	408.3595995893224
5.07207782E8	395.39576083517875
5.15455063E8	387.201244813278
5.23702344E8	388.9798012183392
5.31949625E8	416.88952293996806
5.40196906E8	432.27531961298405
5.48444187E8	414.75154134621494
5.56691468E8	398.0932336742722
5.64938749E8	408.40260184868197
5.7318603E8	371.16991150442476
5.81433311E8	407.94606542882406
5.89680592E8	404.58663101604276
5.97927873E8	386.84722222222223
6.06175154E8	401.15558562040974
6.14422435E8	402.5799330498507
6.22669716E8	404.13021786130054
6.30916997E8	396.91135776189753
6.39164278E8	397.5787855495773
6.47411559E8	408.5921650264951
6.5565884E8	398.3934764657308
6.63906121E8	389.9250945775536
6.72153402E8	392.0481897627965
6.80400683E8	420.5446094776195
6.87513812E8	402.82840709378496
6.90580999E8	0.0
6.91715151E8	419.74404598959757
6.96895245E8	419.98682888715257
7.05142526E8	412.25807860262006
7.13389807E8	387.3153814769482
7.21637088E8	427.3953488372093
7.29884369E8	405.55172413793105
7.3813165E8	385.12472231037765
7.46378931E8	401.25350616234596
7.54626212E8	373.1025641025641
7.62873493E8	398.7020120428844
7.71120774E8	397.72566371681415
7.79368055E8	400.3567062207839
7.87615336E8	393.50761256883703
7.95862617E8	391.50395843641763
8.04109898E8	404.9428211057389
8.12357179E8	405.65904936014624
8.2060446E8	396.25650364203955
8.28851741E8	398.1073684210526
8.37099022E8	401.49070904645475
8.45346303E8	403.0531774777741
8.53593584E8	404.32603724273116
8.61840865E8	385.15411436541143
8.70088146E8	389.86798336798336
8.775425195E8	411.4105024424285
8.80978107E8	0.0
8.817710145E8	409.86697398748765
8.86582708E8	404.5416354088522
8.94829989E8	403.61785773779775
9.0307727E8	387.95412844036696
9.11324551E8	399.3013651877133
9.19571832E8	396.8051798561151
9.27819113E8	396.19117647058823
9.36066394E8	396.89478764478764
9.44313675E8	397.65189712248537
9.52560956E8	404.023670793882
9.60808237E8	405.14642952661137
9.69055518E8	389.35834470213734
9.77302799E8	385.8042804843706
9.8555008E8	378.93439865433135
9.93797361E8	394.83816651075773
1.002044642E9	404.4266666666667
1.010291923E9	400.89161228712396
1.018539204E9	428.73770428316936
1.026786485E9	405.5110583345703
1.035033766E9	408.8406867638251
1.043281047E9	396.6781033153431
1.051528328E9	392.335611907387
1.0591365945E9	425.32771569884596
1.062667565E9	0.0
1.0633065795E9	385.1117166212534
1.06802289E9	408.82551076753174
1.076270171E9	408.72621437173825
1.084517452E9	389.7582668187001
1.092764733E9	428.01863084922013
1.101012014E9	409.7045274655691
1.109259295E9	422.98911212704525
1.117506576E9	406.52054794520546
1.125753857E9	413.28932261768085
1.134001138E9	400.68589877108934
1.142248419E9	394.45698614318707
1.1504957E9	403.9369839932603
1.158742981E9	402.72363796133567
1.166990262E9	402.9362101313321
1.175237543E9	409.814538419016
1.183484824E9	386.75946275946274
1.191732105E9	398.0808850873931
1.199979386E9	401.6763039656183
1.208226667E9	400.9441319835021
1.216473948E9	403.58680701754383
1.224721229E9	392.2811960897067
1.231182379E9	395.1904153354633
1.2353060195E9	419.49393989706124
