#Position (bp)	insert size
4123641.0	415.02562038900066
1.2370922E7	403.0112119594234
2.0618203E7	398.9735627883776
2.8865484E7	405.6531765189256
3.7112765E7	399.63668792562964
4.5360046E7	409.58778696904915
5.3607327E7	383.78783490224475
6.1854608E7	376.75453962828453
7.0101889E7	375.31908448333894
7.834917E7	379.2974385781495
8.6596451E7	382.7028050249527
9.4843732E7	382.60911185959935
1.03091013E8	379.9012379642366
1.11338294E8	400.89131310418907
1.19585575E8	387.38549547887067
1.27832856E8	0.0
1.36080137E8	0.0
1.44327418E8	382.8554009467795
1.52574699E8	409.47912166111774
1.6082198E8	405.2013151511885
1.69069261E8	379.81978947368424
1.77316542E8	382.159771555927
1.85563823E8	380.833741888969
1.93811104E8	390.6783071914768
2.02058385E8	398.8777909114789
2.10305666E8	387.60127279402764
2.18552947E8	383.5364516718436
2.26800228E8	400.1177296007858
2.35047509E8	383.7787298387097
2.4329479E8	387.4310816087466
2.481874265E8	415.81415535277097
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	181.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	320.2142857142857
2.49528459E8	0.0
2.49636853E8	446.2068965517241
2.49678084E8	0.0
2.52682327E8	388.7385654885655
2.59789352E8	376.1827848101266
2.68036633E8	397.74688334817455
2.76283914E8	406.3577624066755
2.84531195E8	371.7499189101525
2.92778476E8	383.6380162372044
3.01025757E8	386.62927520822257
3.09273038E8	383.1295876755777
3.17520319E8	386.345259104765
3.257676E8	412.01869606903165
3.34014881E8	390.61344672657253
3.42262162E8	402.7338670936749
3.50509443E8	389.9127677396195
3.58756724E8	391.74851270957276
3.67004005E8	388.3960010386912
3.75251286E8	387.7861386138614
3.83498567E8	402.35979268957993
3.91745848E8	367.4690885914595
3.99993129E8	381.32660703141255
4.0824041E8	373.6049779205139
4.16487691E8	386.69932552360666
4.24734972E8	410.03663003663
4.32982253E8	396.48169128059885
4.41229534E8	382.3571223846374
4.49476815E8	380.18018485824075
4.57724096E8	377.07982218786236
4.65971377E8	410.5455754002659
4.74218658E8	386.2723855847889
4.82465939E8	396.61457643161384
4.892410255E8	396.632092674032
4.91973207E8	0.0
4.92130842E8	0.0
4.93522301E8	357.6731234866828
4.98960501E8	393.5121887287025
5.07207782E8	379.38148667601683
5.15455063E8	377.4244846445099
5.23702344E8	379.99133126934987
5.31949625E8	401.25245344254694
5.40196906E8	417.5885790298827
5.48444187E8	402.4061203319502
5.56691468E8	382.940499801666
5.64938749E8	392.81701833275685
5.7318603E8	358.80345911949684
5.81433311E8	396.3244406196213
5.89680592E8	390.86795121088915
5.97927873E8	370.47723382403285
6.06175154E8	388.182298805561
6.14422435E8	386.7518241517694
6.22669716E8	391.01067556296914
6.30916997E8	381.35940902021775
6.39164278E8	385.8225611232147
6.47411559E8	389.8873848467757
6.5565884E8	381.9683069224354
6.63906121E8	376.3884520884521
6.72153402E8	375.9757146471035
6.80400683E8	403.13485562154415
6.87513812E8	387.54529561347744
6.90580999E8	0.0
6.91715151E8	407.8369461486026
6.96895245E8	406.15293877342594
7.05142526E8	398.76672694394216
7.13389807E8	376.9169618260527
7.21637088E8	413.7062706270627
7.29884369E8	388.96739590684547
7.3813165E8	371.2162162162162
7.46378931E8	385.99202869669193
7.54626212E8	358.5509688289806
7.62873493E8	380.09950768312694
7.71120774E8	384.46555944055945
7.79368055E8	386.6502194907814
7.87615336E8	377.99265879348866
7.95862617E8	373.6612244897959
8.04109898E8	389.8370627851401
8.12357179E8	391.9816159431485
8.2060446E8	384.668034889687
8.28851741E8	384.3722334004024
8.37099022E8	386.94886778670565
8.45346303E8	387.53815461346636
8.53593584E8	391.556202878684
8.61840865E8	372.0868945868946
8.70088146E8	385.4085127201566
8.775425195E8	394.343321761374
8.80978107E8	0.0
