#Insert size (bp)	insert size
382.0	14716.0
383.0	14736.0
384.0	14485.0
385.0	14676.0
386.0	14606.0
387.0	14512.0
388.0	14680.0
389.0	14618.0
390.0	14449.0
391.0	14324.0
392.0	14088.0
393.0	14290.0
394.0	14030.0
395.0	13957.0
396.0	13938.0
397.0	13978.0
398.0	13975.0
399.0	13916.0
400.0	13750.0
401.0	13714.0
402.0	13376.0
403.0	13676.0
404.0	13360.0
405.0	13225.0
406.0	13235.0
407.0	13252.0
408.0	12977.0
409.0	13115.0
410.0	13029.0
411.0	12941.0
412.0	12697.0
413.0	12583.0
414.0	12641.0
415.0	12489.0
416.0	12522.0
417.0	12620.0
418.0	12376.0
419.0	12264.0
420.0	12147.0
421.0	12022.0
422.0	11810.0
423.0	11709.0
424.0	11821.0
425.0	11588.0
426.0	11634.0
427.0	11590.0
428.0	11315.0
429.0	11191.0
430.0	11370.0
431.0	11083.0
432.0	11111.0
433.0	10982.0
434.0	10866.0
435.0	10772.0
436.0	10939.0
437.0	10733.0
438.0	10557.0
439.0	10293.0
440.0	10435.0
441.0	10461.0
442.0	10281.0
443.0	10332.0
444.0	10180.0
445.0	10088.0
446.0	9979.0
447.0	9906.0
448.0	9801.0
449.0	9925.0
450.0	9599.0
451.0	9723.0
452.0	9677.0
453.0	9574.0
454.0	9425.0
455.0	9358.0
456.0	9358.0
457.0	9205.0
458.0	9169.0
459.0	9126.0
460.0	9032.0
461.0	8648.0
462.0	8684.0
463.0	8805.0
464.0	8724.0
465.0	8728.0
466.0	8597.0
467.0	8402.0
468.0	8370.0
469.0	8494.0
470.0	8394.0
471.0	8284.0
472.0	8246.0
473.0	8192.0
474.0	8060.0
475.0	7876.0
476.0	7920.0
477.0	7662.0
478.0	7664.0
479.0	7719.0
480.0	7538.0
481.0	7800.0
482.0	7431.0
483.0	7430.0
484.0	7329.0
485.0	7330.0
486.0	7303.0
487.0	7122.0
488.0	7062.0
489.0	6984.0
490.0	6898.0
491.0	6958.0
492.0	6783.0
493.0	6879.0
494.0	6795.0
495.0	6713.0
496.0	6565.0
497.0	6571.0
498.0	6521.0
499.0	6529.0
500.0	6407.0
501.0	6390.0
502.0	6183.0
503.0	6160.0
504.0	6095.0
505.0	6060.0
506.0	6060.0
507.0	5917.0
508.0	5887.0
509.0	5758.0
510.0	5792.0
511.0	5769.0
512.0	5760.0
513.0	5640.0
514.0	5656.0
515.0	5514.0
516.0	5416.0
517.0	5341.0
518.0	5451.0
519.0	5301.0
520.0	5275.0
521.0	5261.0
522.0	5361.0
523.0	5128.0
524.0	5090.0
525.0	5009.0
526.0	4871.0
527.0	4814.0
528.0	4849.0
529.0	4803.0
530.0	4859.0
531.0	4570.0
532.0	4730.0
533.0	4537.0
534.0	4580.0
535.0	4525.0
536.0	4599.0
537.0	4401.0
538.0	4570.0
539.0	4364.0
540.0	4388.0
541.0	4238.0
542.0	4216.0
543.0	4193.0
544.0	4010.0
545.0	4057.0
546.0	3983.0
547.0	4067.0
548.0	3971.0
549.0	3990.0
550.0	3732.0
551.0	3805.0
552.0	3804.0
553.0	3567.0
554.0	3666.0
555.0	3613.0
556.0	3635.0
557.0	3632.0
558.0	3603.0
559.0	3474.0
560.0	3380.0
561.0	3360.0
562.0	3400.0
563.0	3205.0
564.0	3239.0
565.0	3104.0
566.0	3108.0
567.0	3140.0
568.0	3087.0
569.0	2886.0
570.0	2976.0
571.0	2987.0
572.0	2938.0
573.0	3039.0
574.0	2887.0
575.0	2889.0
576.0	2834.0
577.0	2855.0
578.0	2720.0
579.0	2605.0
580.0	2681.0
581.0	2604.0
582.0	2611.0
583.0	2658.0
584.0	2642.0
585.0	2506.0
586.0	2336.0
587.0	2422.0
588.0	2441.0
589.0	2359.0
590.0	2327.0
591.0	2365.0
592.0	2193.0
593.0	2153.0
594.0	2160.0
595.0	2135.0
596.0	2159.0
597.0	2226.0
598.0	2143.0
599.0	1971.0
600.0	2076.0
601.0	2021.0
602.0	2017.0
603.0	1932.0
604.0	1948.0
605.0	1919.0
606.0	1902.0
607.0	1877.0
608.0	1744.0
609.0	1742.0
610.0	1746.0
611.0	1658.0
612.0	1693.0
613.0	1653.0
614.0	1622.0
615.0	1665.0
616.0	1556.0
617.0	1584.0
618.0	1544.0
619.0	1546.0
620.0	1532.0
621.0	1475.0
622.0	1404.0
623.0	1445.0
624.0	1424.0
625.0	1375.0
626.0	1337.0
627.0	1315.0
628.0	1292.0
629.0	1312.0
630.0	1307.0
631.0	1216.0
632.0	1273.0
633.0	1222.0
634.0	1199.0
635.0	1132.0
636.0	1166.0
637.0	1178.0
638.0	1145.0
639.0	1079.0
640.0	1134.0
641.0	1093.0
642.0	1073.0
643.0	1006.0
644.0	1029.0
645.0	1036.0
646.0	917.0
647.0	1004.0
648.0	938.0
649.0	947.0
650.0	893.0
651.0	872.0
652.0	869.0
653.0	870.0
654.0	913.0
655.0	814.0
656.0	800.0
657.0	828.0
658.0	784.0
659.0	785.0
660.0	749.0
661.0	775.0
662.0	762.0
663.0	717.0
664.0	759.0
665.0	690.0
666.0	709.0
667.0	705.0
668.0	704.0
669.0	688.0
670.0	708.0
671.0	699.0
672.0	628.0
673.0	598.0
674.0	640.0
675.0	593.0
676.0	560.0
677.0	589.0
678.0	558.0
679.0	555.0
680.0	567.0
681.0	543.0
682.0	514.0
683.0	540.0
684.0	525.0
685.0	477.0
686.0	485.0
687.0	460.0
688.0	468.0
689.0	494.0
690.0	477.0
691.0	454.0
692.0	466.0
693.0	420.0
694.0	445.0
695.0	420.0
696.0	374.0
697.0	458.0
698.0	423.0
699.0	405.0
700.0	424.0
701.0	333.0
702.0	329.0
703.0	369.0
704.0	373.0
705.0	353.0
706.0	348.0
707.0	326.0
708.0	322.0
709.0	319.0
710.0	309.0
711.0	335.0
712.0	318.0
713.0	295.0
714.0	300.0
715.0	287.0
716.0	294.0
717.0	306.0
718.0	241.0
719.0	274.0
720.0	277.0
721.0	276.0
722.0	247.0
723.0	254.0
724.0	239.0
725.0	234.0
726.0	233.0
727.0	218.0
728.0	231.0
729.0	230.0
730.0	210.0
731.0	187.0
732.0	210.0
733.0	194.0
734.0	215.0
735.0	176.0
736.0	172.0
737.0	199.0
738.0	182.0
739.0	171.0
740.0	170.0
741.0	184.0
742.0	190.0
743.0	144.0
744.0	159.0
745.0	117.0
746.0	181.0
747.0	147.0
748.0	170.0
749.0	121.0
750.0	141.0
751.0	138.0
752.0	166.0
753.0	131.0
754.0	128.0
755.0	114.0
756.0	121.0
757.0	119.0
758.0	101.0
759.0	147.0
760.0	122.0
761.0	102.0
762.0	110.0
763.0	115.0
764.0	101.0
765.0	132.0
766.0	141.0
767.0	100.0
768.0	108.0
769.0	126.0
770.0	106.0
771.0	102.0
772.0	82.0
773.0	77.0
774.0	92.0
775.0	93.0
776.0	90.0
777.0	83.0
778.0	87.0
779.0	66.0
780.0	74.0
781.0	81.0
782.0	73.0
783.0	77.0
784.0	90.0
785.0	67.0
786.0	64.0
787.0	72.0
788.0	66.0
789.0	68.0
790.0	73.0
791.0	70.0
792.0	63.0
793.0	63.0
794.0	43.0
795.0	54.0
796.0	56.0
797.0	66.0
798.0	54.0
799.0	66.0
800.0	51.0
801.0	52.0
802.0	58.0
803.0	51.0
804.0	61.0
805.0	45.0
806.0	43.0
807.0	46.0
808.0	50.0
809.0	55.0
810.0	53.0
811.0	55.0
812.0	49.0
813.0	40.0
814.0	39.0
815.0	39.0
816.0	50.0
817.0	36.0
818.0	23.0
819.0	41.0
820.0	28.0
821.0	38.0
822.0	45.0
823.0	46.0
824.0	27.0
825.0	30.0
826.0	39.0
827.0	23.0
828.0	33.0
829.0	35.0
830.0	28.0
831.0	22.0
832.0	34.0
833.0	31.0
834.0	31.0
835.0	29.0
836.0	24.0
837.0	23.0
838.0	34.0
839.0	32.0
840.0	16.0
841.0	22.0
842.0	30.0
843.0	23.0
844.0	18.0
