#Position (bp)	Coverage	Std
4123641.0	0.8168178094089433	4.838696530012062
1.2370922E7	0.6838316773734276	3.988564222640486
2.0618203E7	0.5856372542659817	3.5703154347890105
2.8865484E7	0.7117123813290708	4.269650473798201
3.7112765E7	0.6756825673819045	4.0538324081010835
4.5360046E7	0.7850236944757915	4.648924455393977
5.3607327E7	0.30307661397738234	2.3839398644353893
6.1854608E7	0.17150755503541107	1.7987506551528913
7.0101889E7	0.10869182218964044	1.3280042084310792
7.834917E7	0.1398298421019	1.5935827337441513
8.6596451E7	0.21260522104194096	1.99044415079612
9.4843732E7	0.20634497599875645	1.9994618411651148
1.03091013E8	0.13281480284229433	1.5128408332631842
1.11338294E8	0.5451523962867277	3.5039633875883553
1.19585575E8	0.19759239439034512	1.9448700406984614
1.27832856E8	0.0	0.0
1.36080137E8	0.0	0.0
1.44327418E8	0.2558220097023492	2.216707758214059
1.52574699E8	1.4342893130475365	6.175718712240166
1.6082198E8	0.6770353768714804	3.9121356295087786
1.69069261E8	0.26069622218522687	2.234443873824626
1.77316542E8	0.2631405429256018	2.299550651503993
1.85563823E8	0.25226180604250054	2.112045848495525
1.93811104E8	0.12333240494655147	1.5620034518705024
2.02058385E8	0.5568334582027701	3.5558591068709045
2.10305666E8	0.2979932416514	2.38757738835987
2.18552947E8	0.2003195962402639	2.0294770472813575
2.26800228E8	0.5212209939251494	3.6398773911332003
2.35047509E8	0.2915491784504493	2.464200024695705
2.4329479E8	0.18602155061771267	1.9743160059769091
2.481874265E8	0.8804408605506401	4.852580881301945
2.4904395E8	0.0	0.0
2.491474935E8	0.0	0.0
2.492273505E8	0.0023495872558387245	0.06491219566052885
2.493246215E8	0.0	0.0
2.493781395E8	0.0	0.0
2.494193325E8	0.09957356076759062	0.5736040087658952
2.49528459E8	0.0	0.0
2.49636853E8	0.21720456497729781	1.343861570978802
2.49678084E8	0.0	0.0
2.52682327E8	0.09703543073311537	1.4332091855491336
2.59789352E8	0.14484300947184897	1.5761802670311897
2.68036633E8	0.16472507727092117	1.84283809006168
2.76283914E8	0.6665405240830281	4.114131934889048
2.84531195E8	0.22543126637736727	1.913903824971281
2.92778476E8	0.2072516990751255	2.022861791170284
3.01025757E8	0.20637953284239982	2.0735227624089423
3.09273038E8	0.16068083529589933	1.7926027226818821
3.17520319E8	0.22804606754638287	2.0971438642485403
3.257676E8	0.3817883736470238	3.2494083187535314
3.34014881E8	0.22787534461357628	2.0777102080408842
3.42262162E8	0.22941609483173908	2.2459705246184165
3.50509443E8	0.30555925037597237	2.5104676216639548
3.58756724E8	0.3377692599536744	2.6957830962840554
3.67004005E8	0.14105715568561322	1.757843366903326
3.75251286E8	0.1294984371212767	1.5843263336375528
3.83498567E8	0.26731403962105815	2.5764563888184084
3.91745848E8	0.05715701938614678	0.9318064441863965
3.99993129E8	0.17580594137631542	1.7752637395284268
4.0824041E8	0.18233766983324565	1.7081889326964441
4.16487691E8	0.3086063152207376	2.4917328896309234
4.24734972E8	0.7984231409115319	4.845897077554392
4.32982253E8	0.18113400040570948	2.121309726289676
4.41229534E8	0.1271352340244015	1.4522735629611543
4.49476815E8	0.35175932528550924	2.5806552831547873
4.57724096E8	0.18919326260375996	1.8026696939887956
4.65971377E8	0.6327961906475601	4.0490398450878695
4.74218658E8	0.16529399204416584	1.8461019901457316
4.82465939E8	0.3854791658002195	3.0669954336437693
