#Position (bp)	mapping quality
4123641.0	55.41178509516626
1.2370922E7	55.55215282515969
2.0618203E7	51.76711950417347
2.8865484E7	58.93817529096927
3.7112765E7	59.24393634218052
4.5360046E7	59.4807430474069
5.3607327E7	59.9831962290933
6.1854608E7	59.964437588328074
7.0101889E7	59.946344984226
7.834917E7	59.951075080470616
8.6596451E7	59.8961398185826
9.4843732E7	59.992304550809884
1.03091013E8	55.5007928892849
1.11338294E8	59.110223141552815
1.19585575E8	55.88199742268041
1.27832856E8	0.0
1.36080137E8	0.0
1.44327418E8	37.79169613183205
1.52574699E8	52.141387170346874
1.6082198E8	59.11648886643464
1.69069261E8	59.97296555637466
1.77316542E8	59.98097773747416
1.85563823E8	59.89267301586081
1.93811104E8	53.125171433711806
2.02058385E8	59.325240475380646
2.10305666E8	57.77068595242416
2.18552947E8	57.97258264067619
2.26800228E8	58.895225624008994
2.35047509E8	59.13164174660052
2.4329479E8	50.69367450324996
2.481874265E8	51.58617498860876
2.4904395E8	0.0
2.491474935E8	0.0
2.492273505E8	0.0
2.493246215E8	0.0
2.493781395E8	0.0
2.494193325E8	0.0
2.49528459E8	0.0
2.49636853E8	0.0
2.49678084E8	0.0
2.52682327E8	55.16190318279481
2.59789352E8	59.97667260190145
2.68036633E8	45.182741837892905
2.76283914E8	59.97756581732306
2.84531195E8	59.81778135160648
2.92778476E8	59.97732648515764
3.01025757E8	59.99423055456003
3.09273038E8	59.99486258470547
3.17520319E8	59.98663519002956
3.257676E8	54.59014563396635
3.34014881E8	47.79229755788165
3.42262162E8	50.154726147546135
3.50509443E8	53.11341319736686
3.58756724E8	44.334537229356734
3.67004005E8	58.31377123415551
3.75251286E8	59.549347852548195
3.83498567E8	49.45061765914577
3.91745848E8	59.99456925263582
3.99993129E8	56.09434100202701
4.0824041E8	59.971561853716274
4.16487691E8	59.05618775693345
4.24734972E8	58.26017658797051
4.32982253E8	59.99032039751972
4.41229534E8	55.13998779231679
4.49476815E8	59.97291298553838
4.57724096E8	51.25532355335089
4.65971377E8	59.97720473943675
4.74218658E8	59.95368853000163
4.82465939E8	57.50969644449547
4.892410255E8	56.78306024237748
4.91973207E8	0.0
4.92130842E8	0.0
4.93522301E8	59.97633714124248
4.98960501E8	59.94546912137236
5.07207782E8	58.17402091579698
5.15455063E8	59.93354488723023
5.23702344E8	55.95494693654379
5.31949625E8	59.607978948851084
5.40196906E8	58.7052460060641
5.48444187E8	59.986473274836946
5.56691468E8	57.37602244127517
5.64938749E8	58.161296067970255
5.7318603E8	59.43159348419698
5.81433311E8	59.999827982144545
5.89680592E8	59.63499159250297
5.97927873E8	59.9927538621619
6.06175154E8	58.45583972642162
6.14422435E8	59.92877004085695
6.22669716E8	59.437165098746604
6.30916997E8	59.99873015741918
6.39164278E8	59.86723601547062
6.47411559E8	57.943646745327406
6.5565884E8	59.993494638613335
6.63906121E8	59.79067495898976
6.72153402E8	59.728495765640986
6.80400683E8	58.69898245599727
6.87513812E8	58.01445676653767
6.90580999E8	0.0
6.91715151E8	58.94186293945401
6.96895245E8	33.10743844126723
7.05142526E8	58.10831310110009
7.13389807E8	58.70894154034884
7.21637088E8	60.0
7.29884369E8	59.88010644348174
7.3813165E8	59.97017268281445
7.46378931E8	59.98994446925986
7.54626212E8	59.99327990860676
7.62873493E8	57.37892891533542
7.71120774E8	59.96005261904886
7.79368055E8	59.92369599914005
7.87615336E8	59.919943797968486
