Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
HG00103.final_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 1.4993641196768451e-05)	(4, 1.4993641196768451e-05)	(5, 1.4993641196768451e-05)	(6, 1.4993641196768451e-05)	(7, 2.9987282393536902e-05)	(8, 2.9987282393536902e-05)	(9, 2.9987282393536902e-05)	(10, 2.9987282393536902e-05)	(12, 4.498092359030535e-05)	(14, 4.498092359030535e-05)	(16, 4.498092359030535e-05)	(18, 5.2477744188689573e-05)	(20, 7.496820598384225e-05)	(22, 8.99618471806107e-05)	(24, 0.00010495548837737915)	(26, 0.00011245230897576338)	(28, 0.0001274459501725318)	(30, 0.00014243959136930027)	(32, 0.00015743323256606873)	(34, 0.0002099109767547583)	(36, 0.00026238872094344785)	(38, 0.00045730605650143774)	(40, 0.0006597202126578119)	(42, 0.0011545103721511706)	(44, 0.0016642941728412979)	(46, 0.0024664539768684103)	(48, 0.003058702804140764)	(50, 0.0037334166579953442)	(52, 0.00445311143544023)	(54, 0.005232780777672189)	(56, 0.006312322943839517)	(58, 0.007159463671456935)	(60, 0.008201521734632343)	(62, 0.009311051183193208)	(64, 0.010615497967312062)	(66, 0.011717530595274545)	(68, 0.013051964661786937)	(70, 0.014348914625307407)	(72, 0.01565336140942626)	(74, 0.017062763681922496)	(76, 0.0184871595956155)	(78, 0.019829090482726276)	(80, 0.021178518190435435)	(82, 0.02265539184831713)	(84, 0.02420723371218266)	(86, 0.025429215469719293)	(88, 0.026801133639223602)	(90, 0.02839045960608106)	(92, 0.030174702908496505)	(94, 0.032206341290658635)	(96, 0.034020571875467615)	(98, 0.035842299280874984)	(100, 0.03798638997201287)	(102, 0.04014547430434753)	(104, 0.04227457135428865)	(106, 0.04474852215175544)	(108, 0.04726745387281254)	(110, 0.0501387361619937)	(112, 0.05340734994288922)	(114, 0.05691586198293304)	(116, 0.06108409423563467)	(118, 0.06532729469432014)	(120, 0.06902322724932355)	(122, 0.07291407713988497)	(124, 0.07792195329960563)	(126, 0.08294482310052306)	(128, 0.08830504982836779)	(130, 0.09392766527715596)	(132, 0.10053986104493084)	(134, 0.10766184061339586)	(136, 0.11556348952409284)	(138, 0.12377250807932356)
HG00103.final_1 - polya	(1, 0.057200741165671636)	(2, 0.06552221202987812)	(3, 0.0725692233923593)	(4, 0.07945130470167602)	(5, 0.08697811258245378)	(6, 0.09303554362594824)	(7, 0.09964773939372312)	(8, 0.10518039299533068)	(9, 0.1106380783909544)	(10, 0.11924442843789948)	(12, 0.12949258219589072)	(14, 0.13936589492396273)	(16, 0.14736500250243872)	(18, 0.1554390782868985)	(20, 0.16286842749989727)	(22, 0.1699529229653704)	(24, 0.17657261555374365)	(26, 0.18251009746766395)	(28, 0.18916727415902915)	(30, 0.19502978786696562)	(32, 0.20075735880413115)	(34, 0.2063050060469355)	(36, 0.2120550674458962)	(38, 0.21690551037305078)	(40, 0.22225074345969875)	(42, 0.22737856874899354)	(44, 0.23265633045025605)	(46, 0.23782913666314115)	(48, 0.24249215907533614)	(50, 0.24687030230479254)	(52, 0.25186318482331643)	(54, 0.2563987612853389)	(56, 0.26079939497659044)	(58, 0.265297487335621)	(60, 0.2697056178474709)	(62, 0.2737613977911968)	(64, 0.2776747381435533)	(66, 0.2813781675191551)	(68, 0.2850591064329618)	(70, 0.28888998175873615)	(72, 0.29234601605459126)	(74, 0.29620687866275913)	(76, 0.2993780337758757)	(78, 0.30332136141062577)	(80, 0.3066499497563083)	(82, 0.31014346815515537)	(84, 0.3135245342450267)	(86, 0.31676316074352867)	(88, 0.3201592204745967)	(90, 0.3228430822488183)	(92, 0.3258643009499671)	(94, 0.328945494215903)	(96, 0.33182427332568254)	(98, 0.3346730651530686)	(100, 0.3369371049737806)	(102, 0.339403558950649)	(104, 0.34219987303384636)	(106, 0.3449362125522566)	(108, 0.34763506796767496)	(110, 0.34989910778838695)	(112, 0.3521256635061071)	(114, 0.3541573018882692)	(116, 0.3563538703235958)	(118, 0.3584229928087498)	(120, 0.36016975200817336)	(122, 0.361939001669392)	(124, 0.3637757227159961)	(126, 0.3659423038689292)	(128, 0.36806390409827194)	(130, 0.3700430647362454)	(132, 0.3719247667064398)	(134, 0.3740088828327906)	(136, 0.3760929989591414)	(138, 0.3781621214442955)
HG00103.final_1 - polyg	(1, 0.07316896904023004)	(2, 0.07618269092078049)	(3, 0.07627265276796111)	(4, 0.07640759553873203)	(5, 0.07648256374471586)	(6, 0.07664749379788031)	(7, 0.07687239841583185)	(8, 0.0770823093925866)	(9, 0.07742716314011228)	(10, 0.07774202960524443)	(12, 0.07825181340593454)	(14, 0.07867163535944405)	(16, 0.0790314827481665)	(18, 0.07938383331629056)	(20, 0.07963122839603724)	(22, 0.07991610757877585)	(24, 0.08018599312031768)	(26, 0.08051585322664659)	(28, 0.08083071969177871)	(30, 0.08118307025990278)	(32, 0.08147544626323977)	(34, 0.08177531908717513)	(36, 0.08209768237290566)	(38, 0.0824050520174394)	(40, 0.08280988032975214)	(42, 0.08319971500086813)	(44, 0.08349209100420511)	(46, 0.08385943521352594)	(48, 0.08425676670524031)	(50, 0.08460911727336437)	(52, 0.08501394558567713)	(54, 0.08542627071858824)	(56, 0.08591356405748322)	(58, 0.0864458383199685)	(60, 0.08689564755587156)	(62, 0.08724050130339722)	(64, 0.0877277946422922)	(66, 0.08822258480178556)	(68, 0.08880733680845954)	(70, 0.08928713332675611)	(72, 0.08975193620385594)	(74, 0.09014177087497192)	(76, 0.09066654831685882)	(78, 0.09114634483515541)	(80, 0.09179107140661646)	(82, 0.09246578526047103)	(84, 0.09299805952295631)	(86, 0.0937627352239915)	(88, 0.09453490774562509)	(90, 0.0952920866260619)	(92, 0.09615422099487607)	(94, 0.09696387761950157)	(96, 0.09793846429729153)	(98, 0.09892804461627824)	(100, 0.09995510903825687)	(102, 0.10104964484562097)	(104, 0.10214418065298507)	(106, 0.10335116876932493)	(108, 0.10465561555344378)	(110, 0.1057876354637998)	(112, 0.10717454727450088)	(114, 0.1088838223709325)	(116, 0.11086298300890593)	(118, 0.11313451965021634)	(120, 0.115488521318109)	(122, 0.1179549752949774)	(124, 0.12067632117219088)	(126, 0.12318775607264959)	(128, 0.12599156697644529)	(130, 0.12915522526896345)	(132, 0.13277618961798301)	(134, 0.13613476524605916)	(136, 0.1399581437512351)	(138, 0.14381900635940298)
HG03280.final_1 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 2.2464347956575517e-05)	(20, 6.739304386972655e-05)	(22, 8.985739182630207e-05)	(24, 8.985739182630207e-05)	(26, 0.00011232173978287759)	(28, 0.00017971478365260413)	(30, 0.00022464347956575517)	(32, 0.0003032686974137695)	(34, 0.0003818939152617838)	(36, 0.00044928695913151035)	(38, 0.0005166800030012369)	(40, 0.0009098060922413084)	(42, 0.0013141643554596678)	(44, 0.0020330234900700845)	(46, 0.0027855791466153638)	(48, 0.0038301713265961254)	(50, 0.004717513070880858)	(52, 0.005492533075382714)	(54, 0.006323713949776008)	(56, 0.007424466999648209)	(58, 0.00867123831123815)	(60, 0.00987308092691494)	(62, 0.011366960066027212)	(64, 0.012624963551595439)	(66, 0.013748180949424217)	(68, 0.015197131392623337)	(70, 0.016601153139909307)	(72, 0.018409533150413635)	(74, 0.020206680986939677)	(76, 0.021824114039813117)	(78, 0.02350894013655628)	(80, 0.02549703493071321)	(82, 0.027462665376913567)	(84, 0.029203652343548173)	(86, 0.03096710365813935)	(88, 0.03289903758240484)	(90, 0.03480850715871377)	(92, 0.03680783412684899)	(94, 0.039222751532180855)	(96, 0.04162643676353443)	(98, 0.04389533590714856)	(100, 0.04682693331548166)	(102, 0.04988208463757593)	(104, 0.052959700307626784)	(106, 0.05577897597617701)	(108, 0.05978886208642574)	(110, 0.06351794384721728)	(112, 0.06801081343853238)	(114, 0.07231273607221658)	(116, 0.07671574827170538)	(118, 0.0818488517797829)	(120, 0.08747617094290505)	(122, 0.09365386663096334)	(124, 0.10046056406180572)	(126, 0.10676181366362514)	(128, 0.11366960066027212)	(130, 0.12095928157218087)	(132, 0.12998994945072423)	(134, 0.1390880103731373)	(136, 0.1480962139037241)	(138, 0.15750877569752925)
HG03280.final_1 - polya	(1, 0.05270136030612616)	(2, 0.05988995165223033)	(3, 0.0665169342994201)	(4, 0.07348088216595852)	(5, 0.08051222307636666)	(6, 0.08581380919411848)	(7, 0.09178932575056756)	(8, 0.09729309099992857)	(9, 0.10324614320842107)	(10, 0.11060321716419955)	(12, 0.12042013722122305)	(14, 0.12975407379718018)	(16, 0.1382792938467006)	(18, 0.14583854693408826)	(20, 0.15365614002297656)	(22, 0.16060885571553668)	(24, 0.16701119488316069)	(26, 0.17312149752734923)	(28, 0.1795575332169081)	(30, 0.18612835499420644)	(32, 0.19256439068376532)	(34, 0.19853990724021442)	(36, 0.20440310205688061)	(38, 0.20983947426237193)	(40, 0.21584868734075585)	(42, 0.22179050737527006)	(44, 0.2271033256670002)	(46, 0.23266325178625263)	(48, 0.2374593900749815)	(50, 0.24227799271166695)	(52, 0.24750095361157076)	(54, 0.25278007538136604)	(56, 0.2569921406232239)	(58, 0.26199045804356197)	(60, 0.26665181024455137)	(62, 0.2704258207012561)	(64, 0.274559260725266)	(66, 0.27851298596562324)	(68, 0.2823768538141542)	(70, 0.28639797209838125)	(72, 0.2901158216851945)	(74, 0.2934405451827677)	(76, 0.2969337512900152)	(78, 0.3008425478344593)	(80, 0.30471764785696864)	(82, 0.30822208613819435)	(84, 0.3120522574647905)	(86, 0.31570271400773403)	(88, 0.31915099141906833)	(90, 0.3222286070891192)	(92, 0.32513774014949576)	(94, 0.3279682479920243)	(96, 0.3310458636620751)	(98, 0.3336404958510596)	(100, 0.3366507184772407)	(102, 0.33942506544987777)	(104, 0.3418736793771445)	(106, 0.3443335254783895)	(108, 0.3468944611454391)	(110, 0.3492195211589447)	(112, 0.3516232063902983)	(114, 0.35395949857778214)	(116, 0.3562845585912877)	(118, 0.35822772468953146)	(120, 0.36018212296175356)	(122, 0.36239486123547626)	(124, 0.3647873142928515)	(126, 0.36705621343646566)	(128, 0.3693251125800798)	(130, 0.37125704650434527)	(132, 0.37371689260559027)	(134, 0.37609811348898725)	(136, 0.37824345871884024)	(138, 0.3803551074267584)
HG03280.final_1 - polyg	(1, 0.06573068212093996)	(2, 0.06802204561251067)	(3, 0.06806697430842382)	(4, 0.06815683170025012)	(5, 0.068269153440033)	(6, 0.0684488682236856)	(7, 0.06865104735529477)	(8, 0.06878583344303424)	(9, 0.06901047692259998)	(10, 0.06929128127205718)	(12, 0.069830425623015)	(14, 0.07023478388623336)	(16, 0.07061667780149514)	(18, 0.07094241084686548)	(20, 0.07125691171825754)	(22, 0.07168373432943248)	(24, 0.07204316389673768)	(26, 0.07231273607221658)	(28, 0.07259354042167379)	(30, 0.07302036303284871)	(32, 0.07330116738230591)	(34, 0.07355950738380654)	(36, 0.07389647260315516)	(38, 0.07418850912659064)	(40, 0.07458163521583072)	(42, 0.07489613608722277)	(44, 0.0752443334805497)	(46, 0.0756037630478549)	(48, 0.07604181783300812)	(50, 0.0763450865304219)	(52, 0.07667081957579225)	(54, 0.07709764218696717)	(56, 0.07751323262416382)	(58, 0.07783896566953416)	(60, 0.07824332393275252)	(62, 0.07861398567403602)	(64, 0.07898464741531952)	(66, 0.07947886307036417)	(68, 0.07990568568153911)	(70, 0.08029881177077919)	(72, 0.08077056307786726)	(74, 0.08127601090689021)	(76, 0.08177022656193488)	(78, 0.08218581699913152)	(80, 0.08253401439245844)	(82, 0.08317424830922085)	(84, 0.0836796961382438)	(86, 0.08437609092489765)	(88, 0.0849601639717686)	(90, 0.08572395180229217)	(92, 0.08639788224098943)	(94, 0.08704934833173013)	(96, 0.08776820746634054)	(98, 0.08837474486116809)	(100, 0.08916099703964822)	(102, 0.09002587443597639)	(104, 0.091025537920044)	(106, 0.0919353440122853)	(108, 0.09272159619076545)	(110, 0.09356400923913702)	(112, 0.09490063794255327)	(114, 0.09638328490768726)	(116, 0.09812427187432185)	(118, 0.10032577797406625)	(120, 0.10270699885746326)	(122, 0.10521177365462143)	(124, 0.10776147714769276)	(126, 0.11040103803259038)	(128, 0.11333263544092348)	(130, 0.11701678850580187)	(132, 0.12057738765691908)	(134, 0.12431770159168892)	(136, 0.12848483813763367)	(138, 0.13247225989992584)
NA18966.final_1 - illumina_universal_adapter	(1, 1.4860369000794733e-05)	(2, 1.4860369000794733e-05)	(3, 1.4860369000794733e-05)	(4, 1.4860369000794733e-05)	(5, 1.4860369000794733e-05)	(6, 1.4860369000794733e-05)	(7, 1.4860369000794733e-05)	(8, 1.4860369000794733e-05)	(9, 1.4860369000794733e-05)	(10, 5.201129150278156e-05)	(12, 8.173202950437103e-05)	(14, 0.00010402258300556313)	(16, 0.0001114527675059605)	(18, 0.0001783244280095368)	(20, 0.00018575461250993415)	(22, 0.00020061498151072887)	(24, 0.00023776590401271573)	(26, 0.0002600564575139078)	(28, 0.00031206774901668935)	(30, 0.0004086601475218551)	(32, 0.0004606714390246367)	(34, 0.0006315656825337762)	(36, 0.0007801693725417234)	(38, 0.0009882145385528497)	(40, 0.0013522935790723205)	(42, 0.0018946970476013284)	(44, 0.002570843837137489)	(46, 0.0033064321026768278)	(48, 0.003960288338711796)	(50, 0.004911351954762659)	(52, 0.005959007969318688)	(54, 0.00722213933438624)	(56, 0.00863387438946174)	(58, 0.009919296308030484)	(60, 0.011293880440603997)	(62, 0.012675894757677907)	(64, 0.014548301251778042)	(66, 0.016279534240370628)	(68, 0.018181661472472355)	(70, 0.02020267165658044)	(72, 0.02183731224666786)	(74, 0.023523964128258062)	(76, 0.0253815102533574)	(78, 0.027120173426450386)	(80, 0.029497832466577542)	(82, 0.031637725602691985)	(84, 0.033658735786800065)	(86, 0.03577633836941332)	(88, 0.03804997482653491)	(90, 0.04024930943865253)	(92, 0.04273842124628565)	(94, 0.045665913939442214)	(96, 0.04834821054408566)	(98, 0.05115682028523587)	(100, 0.05421805629939958)	(102, 0.057368454527568065)	(104, 0.060080471870213106)	(106, 0.06316399843787801)	(108, 0.06641098906455166)	(110, 0.06967284006022612)	(112, 0.07312787585291089)	(114, 0.07630056463458056)	(116, 0.0798744833792717)	(118, 0.08387935282498588)	(120, 0.08814427872821395)	(122, 0.09258009887495118)	(124, 0.09751374138321503)	(126, 0.10255140647448445)	(128, 0.10812404484978247)	(130, 0.11399389060509639)	(132, 0.11978943451540634)	(134, 0.1256221293482183)	(136, 0.13195264654255684)	(138, 0.1388032766519232)
NA18966.final_1 - polya	(1, 0.05419576574589839)	(2, 0.06171511246030052)	(3, 0.06902641400869153)	(4, 0.07586218374905711)	(5, 0.08272767422742427)	(6, 0.08846377666173104)	(7, 0.09470513164206483)	(8, 0.09968335525733106)	(9, 0.1052262728946275)	(10, 0.11345148713656739)	(12, 0.12311072698708396)	(14, 0.13254706130258861)	(16, 0.14046763798001222)	(18, 0.14802413561691632)	(20, 0.15589270100283714)	(22, 0.16269131982070073)	(24, 0.16881379184902817)	(26, 0.1740743624753095)	(28, 0.18067236631166236)	(30, 0.18661651391198025)	(32, 0.19256066151229814)	(34, 0.1981407300720966)	(36, 0.20381739103040014)	(38, 0.20920427479318826)	(40, 0.21434596246746324)	(42, 0.2197254160457509)	(44, 0.22525347331404655)	(46, 0.2308112513203438)	(48, 0.2358489164116132)	(50, 0.24077512873537665)	(52, 0.2465335217231846)	(54, 0.2516157679214564)	(56, 0.2559624258541889)	(58, 0.26027936304891974)	(60, 0.264603730428151)	(62, 0.26867547153436877)	(64, 0.27307414075860403)	(66, 0.2768115235623039)	(68, 0.2807792420855161)	(70, 0.2847841115312303)	(72, 0.28842490193642495)	(74, 0.2922737375076308)	(76, 0.29599625994232986)	(78, 0.2999193973585397)	(80, 0.30386482532825065)	(82, 0.30746103462644303)	(84, 0.31078975728262104)	(86, 0.3140516082782955)	(88, 0.31712027447695956)	(90, 0.31984715218860543)	(92, 0.32307185226177787)	(94, 0.3260142053239352)	(96, 0.3289194074635906)	(98, 0.33166857572873765)	(100, 0.3343211515953795)	(102, 0.33680283321851223)	(104, 0.3390838998601342)	(106, 0.3416621738817721)	(108, 0.3439060896008921)	(110, 0.34604598273700654)	(112, 0.34821559661112256)	(114, 0.3504075010387398)	(116, 0.35248052251435064)	(118, 0.35446438177595674)	(120, 0.3563739391925589)	(122, 0.3583132173471626)	(124, 0.36038623882277343)	(126, 0.362266075501374)	(128, 0.3642722253164813)	(130, 0.36633038642309135)	(132, 0.36830681550019706)	(134, 0.3704689991898127)	(136, 0.3724231377134172)	(138, 0.3745778912185324)
NA18966.final_1 - polyg	(1, 0.08436231481751169)	(2, 0.08813684854371356)	(3, 0.08825573149571991)	(4, 0.08834489370972469)	(5, 0.08841919555472866)	(6, 0.0885975199827382)	(7, 0.08890958773175489)	(8, 0.0891473536357676)	(9, 0.0894297006467827)	(10, 0.08989037208580733)	(12, 0.09068540182734985)	(14, 0.0911163525283729)	(16, 0.09149529193789316)	(18, 0.09185937097841264)	(20, 0.09214914817392814)	(22, 0.09234233297093847)	(24, 0.09266183090445555)	(26, 0.09298875902247304)	(28, 0.09321909474198536)	(30, 0.09343457009249688)	(32, 0.0936574756275088)	(34, 0.09391753208502271)	(36, 0.09418501872703702)	(38, 0.09444507518455092)	(40, 0.09480172404057)	(42, 0.0950915012360855)	(44, 0.09547787083010616)	(46, 0.09581965931712444)	(48, 0.09610943651263994)	(50, 0.09656267776716418)	(52, 0.09696390773018562)	(54, 0.09723139437219994)	(56, 0.09758804322821901)	(58, 0.0979001109772357)	(60, 0.09839050315426193)	(62, 0.09894776699179172)	(64, 0.09940100824631597)	(66, 0.09965363451932949)	(68, 0.10007715503585213)	(70, 0.10054525665937716)	(72, 0.10110995068140735)	(74, 0.10161520322743439)	(76, 0.10198671245245425)	(78, 0.10250682536748207)	(80, 0.10306408920501187)	(82, 0.10374023599454803)	(84, 0.10453526573609054)	(86, 0.10527828418613028)	(88, 0.10602873282067041)	(90, 0.10670487961020658)	(92, 0.10765594322625743)	(94, 0.10867387850281188)	(96, 0.1097512552553695)	(98, 0.11082863200792711)	(100, 0.1119951709744895)	(102, 0.11318400049455309)	(104, 0.11428366780061189)	(106, 0.11549478787417666)	(108, 0.1170699869882609)	(110, 0.11863032573334434)	(112, 0.12059189444144924)	(114, 0.12270206683956211)	(116, 0.12473050720817058)	(118, 0.12716017753980052)	(120, 0.1298499043289444)	(122, 0.13303002329511443)	(124, 0.13642561761179606)	(126, 0.13999953635648718)	(128, 0.1438037908206906)	(130, 0.14761547546939446)	(132, 0.15153861288560427)	(134, 0.15613046690684984)	(136, 0.1607669020350978)	(138, 0.1656113823293569)
