#Coverage	Number of genomic locations
0.0	3.240285536E9
1.0	6495176.0
2.0	5929347.0
3.0	5169617.0
4.0	4520305.0
5.0	3877956.0
6.0	3305809.0
7.0	2803507.0
8.0	2375578.0
9.0	2026842.0
10.0	1751187.0
11.0	1525496.0
12.0	1334548.0
13.0	1187156.0
14.0	1074547.0
15.0	982665.0
16.0	900005.0
17.0	835933.0
18.0	777086.0
19.0	735716.0
20.0	693155.0
21.0	647452.0
22.0	606552.0
23.0	565496.0
24.0	531124.0
25.0	501906.0
26.0	470220.0
27.0	439898.0
28.0	412621.0
29.0	387628.0
30.0	366122.0
31.0	350368.0
32.0	336672.0
33.0	322141.0
34.0	310490.0
35.0	298479.0
36.0	287336.0
37.0	277733.0
38.0	266811.0
39.0	255151.0
40.0	243509.0
41.0	232278.0
42.0	219163.0
43.0	205564.0
44.0	191293.0
45.0	176485.0
46.0	161658.0
47.0	148798.0
48.0	133862.0
49.0	120538.0
50.0	107392.0
51.0	94967.0
52.0	83520.0
53.0	74258.0
54.0	65173.0
55.0	55954.0
56.0	48293.0
57.0	41942.0
58.0	35848.0
59.0	31066.0
60.0	26946.0
61.0	23020.0
62.0	19886.0
63.0	16961.0
64.0	14159.0
65.0	11986.0
66.0	10013.0
67.0	8673.0
68.0	7428.0
69.0	6437.0
70.0	5530.0
71.0	4773.0
72.0	3903.0
73.0	3379.0
74.0	3099.0
75.0	2594.0
76.0	2168.0
77.0	1791.0
78.0	1610.0
79.0	1416.0
80.0	1327.0
81.0	1145.0
82.0	1016.0
83.0	1007.0
84.0	1017.0
85.0	995.0
86.0	857.0
87.0	826.0
88.0	872.0
89.0	911.0
90.0	815.0
91.0	853.0
92.0	736.0
93.0	662.0
94.0	637.0
95.0	677.0
96.0	651.0
97.0	577.0
98.0	600.0
99.0	565.0
100.0	592.0
101.0	521.0
102.0	509.0
103.0	514.0
104.0	479.0
105.0	479.0
106.0	435.0
107.0	372.0
108.0	408.0
109.0	398.0
110.0	388.0
111.0	400.0
112.0	432.0
113.0	374.0
114.0	387.0
115.0	357.0
116.0	345.0
117.0	334.0
118.0	281.0
119.0	324.0
120.0	277.0
121.0	234.0
122.0	256.0
123.0	252.0
124.0	249.0
125.0	239.0
126.0	278.0
127.0	241.0
128.0	234.0
129.0	265.0
130.0	205.0
131.0	228.0
132.0	226.0
133.0	210.0
134.0	226.0
135.0	196.0
136.0	236.0
137.0	195.0
138.0	159.0
139.0	199.0
140.0	192.0
141.0	215.0
142.0	196.0
143.0	185.0
144.0	196.0
145.0	184.0
146.0	193.0
147.0	203.0
148.0	202.0
149.0	184.0
150.0	195.0
151.0	166.0
152.0	166.0
153.0	159.0
154.0	162.0
155.0	137.0
156.0	130.0
157.0	114.0
158.0	110.0
159.0	92.0
160.0	92.0
161.0	94.0
162.0	75.0
163.0	101.0
164.0	102.0
165.0	93.0
166.0	101.0
167.0	90.0
168.0	90.0
169.0	85.0
170.0	110.0
171.0	100.0
172.0	85.0
173.0	91.0
174.0	98.0
175.0	74.0
176.0	67.0
177.0	91.0
178.0	82.0
179.0	80.0
180.0	91.0
181.0	99.0
182.0	74.0
183.0	108.0
184.0	87.0
185.0	97.0
186.0	75.0
187.0	68.0
188.0	98.0
189.0	72.0
190.0	72.0
191.0	59.0
192.0	57.0
193.0	53.0
194.0	54.0
195.0	38.0
196.0	61.0
197.0	63.0
198.0	69.0
199.0	124.0
200.0	69.0
201.0	69.0
