#Coverage	Number of genomic locations
202.0	64.0
203.0	67.0
204.0	69.0
205.0	78.0
206.0	85.0
207.0	77.0
208.0	67.0
209.0	86.0
210.0	101.0
211.0	110.0
212.0	102.0
213.0	65.0
214.0	74.0
215.0	72.0
216.0	76.0
217.0	61.0
218.0	68.0
219.0	61.0
220.0	43.0
221.0	50.0
222.0	52.0
223.0	47.0
224.0	47.0
225.0	63.0
226.0	88.0
227.0	54.0
228.0	53.0
229.0	45.0
230.0	44.0
231.0	52.0
232.0	43.0
233.0	61.0
234.0	63.0
235.0	49.0
236.0	52.0
237.0	52.0
238.0	43.0
239.0	38.0
240.0	41.0
241.0	35.0
242.0	24.0
243.0	36.0
244.0	34.0
245.0	34.0
246.0	53.0
247.0	30.0
248.0	29.0
249.0	23.0
250.0	29.0
251.0	40.0
252.0	30.0
253.0	33.0
254.0	36.0
255.0	21.0
256.0	25.0
257.0	32.0
258.0	31.0
259.0	44.0
260.0	51.0
261.0	38.0
262.0	33.0
263.0	38.0
264.0	26.0
265.0	40.0
266.0	34.0
267.0	37.0
268.0	28.0
269.0	27.0
270.0	25.0
271.0	21.0
272.0	19.0
273.0	13.0
274.0	21.0
275.0	35.0
276.0	21.0
277.0	22.0
278.0	19.0
279.0	42.0
280.0	34.0
281.0	28.0
282.0	33.0
283.0	29.0
284.0	28.0
285.0	24.0
286.0	19.0
287.0	24.0
288.0	28.0
289.0	21.0
290.0	28.0
291.0	17.0
292.0	16.0
293.0	9.0
294.0	12.0
295.0	15.0
296.0	22.0
297.0	14.0
298.0	16.0
299.0	18.0
300.0	16.0
301.0	20.0
302.0	17.0
303.0	14.0
304.0	9.0
305.0	12.0
306.0	13.0
307.0	12.0
308.0	11.0
309.0	10.0
310.0	12.0
311.0	13.0
312.0	6.0
313.0	9.0
314.0	9.0
315.0	14.0
316.0	9.0
317.0	12.0
318.0	7.0
319.0	13.0
320.0	17.0
321.0	6.0
322.0	12.0
323.0	10.0
324.0	12.0
325.0	11.0
326.0	5.0
327.0	16.0
328.0	10.0
329.0	8.0
330.0	12.0
331.0	13.0
332.0	8.0
333.0	10.0
334.0	12.0
335.0	12.0
336.0	9.0
337.0	11.0
338.0	9.0
339.0	9.0
340.0	8.0
341.0	15.0
342.0	8.0
343.0	10.0
344.0	13.0
345.0	5.0
346.0	13.0
347.0	16.0
348.0	16.0
349.0	18.0
350.0	10.0
351.0	13.0
352.0	13.0
353.0	11.0
354.0	13.0
355.0	13.0
356.0	10.0
357.0	11.0
358.0	8.0
359.0	9.0
360.0	18.0
361.0	8.0
362.0	6.0
363.0	12.0
364.0	16.0
365.0	8.0
366.0	6.0
367.0	16.0
368.0	18.0
369.0	12.0
370.0	11.0
371.0	9.0
372.0	10.0
373.0	3.0
374.0	8.0
375.0	6.0
376.0	9.0
377.0	10.0
378.0	8.0
379.0	10.0
380.0	9.0
381.0	7.0
382.0	8.0
383.0	8.0
384.0	7.0
385.0	7.0
386.0	14.0
387.0	10.0
388.0	10.0
389.0	12.0
390.0	3.0
391.0	5.0
392.0	7.0
393.0	12.0
394.0	6.0
395.0	14.0
396.0	10.0
397.0	11.0
398.0	10.0
399.0	14.0
400.0	9.0
401.0	3.0
402.0	10.0
403.0	8.0
404.0	12.0
405.0	17.0
406.0	7.0
407.0	7.0
408.0	9.0
409.0	6.0
410.0	16.0
411.0	6.0
412.0	11.0
413.0	7.0
414.0	4.0
415.0	4.0
416.0	10.0
417.0	9.0
418.0	9.0
419.0	12.0
420.0	7.0
421.0	6.0
422.0	9.0
423.0	7.0
424.0	8.0
425.0	7.0
426.0	16.0
427.0	12.0
428.0	15.0
429.0	12.0
430.0	12.0
431.0	17.0
432.0	9.0
433.0	9.0
434.0	8.0
435.0	16.0
436.0	7.0
437.0	5.0
438.0	14.0
439.0	21.0
440.0	13.0
441.0	14.0
442.0	6.0
443.0	6.0
444.0	8.0
445.0	4.0
446.0	4.0
447.0	9.0
448.0	7.0
449.0	3.0
450.0	9.0
451.0	7.0
452.0	3.0
453.0	5.0
454.0	6.0
455.0	10.0
456.0	8.0
457.0	13.0
458.0	5.0
459.0	4.0
460.0	14.0
461.0	6.0
462.0	3.0
463.0	7.0
464.0	4.0
465.0	3.0
466.0	3.0
467.0	3.0
468.0	2.0
469.0	4.0
470.0	4.0
471.0	6.0
472.0	2.0
473.0	7.0
474.0	4.0
475.0	9.0
476.0	7.0
477.0	2.0
478.0	6.0
479.0	6.0
480.0	15.0
481.0	12.0
482.0	4.0
483.0	5.0
484.0	7.0
485.0	2.0
486.0	6.0
487.0	1.0
488.0	5.0
489.0	3.0
490.0	2.0
491.0	6.0
492.0	5.0
493.0	5.0
494.0	6.0
495.0	5.0
496.0	4.0
497.0	4.0
498.0	6.0
499.0	5.0
500.0	2.0
501.0	10.0
502.0	7.0
503.0	4.0
504.0	7.0
505.0	6.0
506.0	4.0
507.0	7.0
508.0	4.0
509.0	9.0
510.0	5.0
511.0	5.0
512.0	3.0
513.0	8.0
514.0	8.0
515.0	7.0
516.0	12.0
517.0	3.0
518.0	7.0
519.0	1.0
520.0	3.0
521.0	5.0
522.0	5.0
523.0	2.0
525.0	4.0
526.0	12.0
527.0	9.0
528.0	4.0
529.0	7.0
530.0	6.0
531.0	6.0
532.0	5.0
533.0	4.0
534.0	15.0
535.0	8.0
536.0	10.0
537.0	8.0
538.0	10.0
539.0	8.0
540.0	8.0
541.0	5.0
542.0	4.0
543.0	1.0
544.0	2.0
545.0	3.0
546.0	1.0
547.0	5.0
548.0	5.0
549.0	2.0
550.0	3.0
551.0	5.0
552.0	3.0
553.0	5.0
554.0	3.0
555.0	5.0
556.0	2.0
557.0	5.0
558.0	5.0
559.0	4.0
560.0	4.0
561.0	10.0
562.0	4.0
563.0	8.0
564.0	7.0
565.0	3.0
566.0	4.0
567.0	5.0
568.0	3.0
569.0	5.0
570.0	5.0
571.0	5.0
572.0	4.0
573.0	3.0
574.0	3.0
575.0	2.0
576.0	1.0
577.0	8.0
579.0	8.0
580.0	1.0
581.0	2.0
582.0	2.0
583.0	2.0
584.0	3.0
585.0	3.0
586.0	2.0
587.0	4.0
588.0	3.0
589.0	3.0
590.0	1.0
591.0	5.0
592.0	4.0
593.0	2.0
594.0	1.0
595.0	8.0
596.0	3.0
597.0	2.0
598.0	7.0
599.0	6.0
600.0	3.0
602.0	1.0
603.0	5.0
604.0	4.0
605.0	3.0
606.0	6.0
607.0	2.0
608.0	3.0
609.0	5.0
610.0	6.0
611.0	1.0
612.0	5.0
613.0	5.0
614.0	2.0
615.0	4.0
616.0	5.0
617.0	7.0
618.0	6.0
619.0	5.0
620.0	6.0
621.0	5.0
622.0	8.0
623.0	5.0
624.0	8.0
625.0	7.0
626.0	4.0
627.0	5.0
628.0	4.0
630.0	4.0
631.0	2.0
632.0	2.0
633.0	7.0
634.0	6.0
635.0	5.0
636.0	2.0
637.0	4.0
638.0	6.0
639.0	2.0
640.0	3.0
641.0	4.0
642.0	9.0
643.0	4.0
644.0	1.0
645.0	2.0
646.0	4.0
647.0	6.0
648.0	5.0
649.0	5.0
650.0	2.0
651.0	2.0
652.0	2.0
653.0	10.0
654.0	4.0
656.0	5.0
657.0	1.0
658.0	5.0
659.0	2.0
660.0	8.0
661.0	4.0
662.0	6.0
663.0	8.0
664.0	3.0
666.0	3.0
667.0	1.0
668.0	2.0
669.0	2.0
670.0	1.0
672.0	2.0
673.0	2.0
674.0	3.0
675.0	2.0
678.0	2.0
680.0	2.0
681.0	1.0
682.0	1.0
683.0	1.0
684.0	1.0
685.0	2.0
686.0	2.0
687.0	3.0
688.0	2.0
689.0	2.0
690.0	2.0
691.0	2.0
692.0	4.0
694.0	1.0
695.0	1.0
696.0	2.0
698.0	1.0
701.0	1.0
704.0	1.0
707.0	1.0
710.0	1.0
711.0	2.0
712.0	1.0
716.0	1.0
717.0	2.0
718.0	1.0
719.0	2.0
720.0	1.0
721.0	2.0
722.0	2.0
724.0	1.0
725.0	1.0
726.0	1.0
727.0	1.0
730.0	1.0
731.0	3.0
732.0	1.0
733.0	2.0
735.0	1.0
736.0	1.0
738.0	2.0
739.0	1.0
767.0	1.0
780.0	1.0
782.0	1.0
792.0	1.0
796.0	1.0
804.0	1.0
818.0	1.0
824.0	1.0
834.0	1.0
835.0	1.0
836.0	1.0
845.0	2.0
851.0	1.0
854.0	1.0
863.0	1.0
869.0	1.0
871.0	1.0
874.0	1.0
879.0	1.0
892.0	1.0
901.0	1.0
910.0	2.0
912.0	1.0
919.0	2.0
920.0	1.0
921.0	1.0
955.0	1.0
962.0	1.0
971.0	1.0
975.0	1.0
986.0	1.0
994.0	1.0
995.0	1.0
1000.0	1.0
1010.0	1.0
1021.0	1.0
1031.0	1.0
1032.0	1.0
1033.0	1.0
1038.0	1.0
1041.0	2.0
1047.0	1.0
1049.0	1.0
1051.0	1.0
1067.0	1.0
1076.0	1.0
1084.0	1.0
1087.0	1.0
1093.0	1.0
1102.0	2.0
1105.0	1.0
1108.0	1.0
1110.0	1.0
1112.0	2.0
1113.0	1.0
1114.0	3.0
1116.0	1.0
1118.0	1.0
1119.0	3.0
1120.0	2.0
1121.0	2.0
1122.0	1.0
1123.0	1.0
1126.0	1.0
1128.0	1.0
