#Mapping quality	mapping quality
0.0	8350784.0
1.0	22700.0
2.0	22042.0
3.0	27189.0
4.0	28324.0
5.0	28520.0
6.0	30417.0
7.0	24496.0
8.0	28183.0
9.0	30558.0
10.0	26901.0
11.0	24896.0
12.0	26338.0
13.0	37239.0
14.0	23321.0
15.0	25963.0
16.0	27569.0
17.0	23411.0
18.0	32807.0
19.0	24511.0
20.0	30945.0
21.0	30769.0
22.0	32919.0
23.0	25096.0
24.0	29117.0
25.0	38499.0
26.0	23200.0
27.0	75653.0
28.0	17244.0
29.0	17619.0
30.0	18562.0
31.0	18676.0
32.0	19170.0
33.0	18486.0
34.0	17119.0
35.0	16952.0
36.0	17421.0
37.0	17741.0
38.0	16252.0
39.0	19300.0
40.0	50277.0
41.0	18419.0
42.0	20612.0
43.0	19715.0
44.0	19968.0
45.0	21947.0
46.0	26547.0
47.0	21372.0
48.0	40770.0
49.0	22514.0
50.0	27006.0
51.0	25509.0
52.0	30447.0
53.0	31226.0
54.0	34788.0
55.0	40401.0
56.0	45746.0
57.0	64031.0
58.0	96311.0
59.0	230660.0
60.0	4.8371351E7
