#Read position (bp)	Clipping profile
0.0	1.38295248651885
1.0	1.3793060182801766
2.0	1.3415082184728513
3.0	1.2879874749697402
4.0	1.2223118373377175
5.0	1.1485982858462531
6.0	1.1204459826702577
7.0	1.0901763753556777
8.0	1.0562210904665243
9.0	1.0188938026899959
10.0	0.9783513493696904
11.0	0.956237283922251
12.0	0.9315746116413303
13.0	0.9075784980707047
14.0	0.8837784311795777
15.0	0.856057430698479
16.0	0.8368840654435183
17.0	0.8178283281962567
18.0	0.7970081708335082
19.0	0.7766977348374557
20.0	0.7582693469645897
21.0	0.742664031276503
22.0	0.7267450409012188
23.0	0.7106300038464358
24.0	0.6969067362815355
25.0	0.68114458324985
26.0	0.6690288984568382
27.0	0.6576581910459208
28.0	0.6466795769940006
29.0	0.6336228681393954
30.0	0.6222129513925784
31.0	0.6119793147227527
32.0	0.6025690741068211
33.0	0.5923354374369955
34.0	0.5823762661184678
35.0	0.5724170947999403
36.0	0.5624971328173124
37.0	0.5546944749732691
38.0	0.5468918171292257
39.0	0.5397165086595779
40.0	0.5330117122207265
41.0	0.526895055820371
42.0	0.5207391900841158
43.0	0.5141520216529636
44.0	0.507917737244909
45.0	0.5029381515856451
46.0	0.4987427526443757
47.0	0.49446893503130673
48.0	0.48968539605154143
49.0	0.4857252531256702
50.0	0.4811769701613033
51.0	0.4763934311815381
52.0	0.4730214282941626
53.0	0.4690612853682914
54.0	0.4653756077937181
55.0	0.4621996515858412
56.0	0.46055285947805313
57.0	0.45678876323168055
58.0	0.45459304042129645
59.0	0.45137787487751985
60.0	0.4494958267543335
61.0	0.44737852261574884
62.0	0.44577093984386057
63.0	0.44251656496418423
64.0	0.44067372617689765
65.0	0.43965428344350505
66.0	0.43863484071011244
67.0	0.4365959552433273
68.0	0.43553730317403494
69.0	0.4340865577457455
70.0	0.43318474302005205
71.0	0.43306711501235295
72.0	0.434282604425244
73.0	0.4333807896995506
74.0	0.4333807896995506
75.0	0.4346354884483415
76.0	0.4339297204021466
77.0	0.4353412564945364
78.0	0.4358901871971324
79.0	0.43596860586893177
80.0	0.43632148989202924
81.0	0.43824274735111524
82.0	0.44028163281790045
83.0	0.4419284249256885
84.0	0.4437320543770754
85.0	0.44592777718745946
86.0	0.4468688012490526
87.0	0.44839796534914145
88.0	0.4496134547620326
89.0	0.4512602468698207
90.0	0.45474987776489534
91.0	0.4578474153009728
92.0	0.4599647194395574
93.0	0.4629838383038355
94.0	0.46592453849631416
95.0	0.4703944027888816
96.0	0.4743937550506526
97.0	0.4783146886406241
98.0	0.4829021809408907
99.0	0.4867054865231631
100.0	0.49160665351062743
101.0	0.496350983154493
102.0	0.501448196821456
103.0	0.5070943411910149
104.0	0.5113681588040839
105.0	0.5157988137607517
106.0	0.5216017954739095
107.0	0.5276008238665659
108.0	0.5343448296413169
109.0	0.5397165086595779
110.0	0.5461860490830308
111.0	0.5537534509116758
112.0	0.562144248794215
113.0	0.5710839773793499
114.0	0.5795531939336884
115.0	0.5880224104880268
116.0	0.5973150230962593
117.0	0.6079015437891824
118.0	0.6175078310846125
119.0	0.6269964903723436
120.0	0.6410726419603413
121.0	0.6527570240584565
122.0	0.6662842449438582
123.0	0.6787136044240678
124.0	0.6920447786299709
125.0	0.7084342810360518
126.0	0.723412247349743
127.0	0.7389391443660301
128.0	0.7527800399386295
129.0	0.7656014927778364
130.0	0.7851277420558945
131.0	0.8053597593801474
132.0	0.8245723339710078
133.0	0.8438241178977679
134.0	0.8615467377244392
135.0	0.8871112247310533
136.0	0.9126757117376675
137.0	0.9366718253082933
138.0	0.9605895202071194
139.0	0.9839582844033495
140.0	1.022265805577371
141.0	1.0570444865204185
142.0	1.090960562073672
143.0	1.1232298455191374
144.0	1.1507155899848378
145.0	1.2231352333916115
146.0	1.2905360818032217
147.0	1.3424100331985447
148.0	1.3799333676545722
149.0	1.384481650618939
