#GC Content (%)	Sample	HUMAN (hg38)
1.0	0.0	0.0
2.0	0.0	1.0E-6
3.0	0.0	4.0E-6
4.0	0.0	8.0E-6
5.0	0.0	9.0E-6
6.0	0.0	1.1000000000000001E-5
7.0	0.0	9.999999999999999E-6
8.0	0.0	8.999999999999999E-6
9.0	0.0	1.5E-5
10.0	0.0	1.4E-5
11.0	0.0	1.9E-5
12.0	0.0	1.8E-5
13.0	1.5036847795522929E-6	2.2E-5
14.0	1.5036847795522929E-6	2.7E-5
15.0	0.0	2.4E-5
16.0	6.014739118209171E-6	2.9E-5
17.0	6.014739118209171E-6	3.1E-5
18.0	1.654053257507522E-5	2.9E-5
19.0	2.7066326031941267E-5	5.2E-5
20.0	6.014739118209171E-5	5.2000000000000004E-5
21.0	1.3382794538015406E-4	7.9E-5
22.0	2.1051586913732096E-4	8.9E-5
23.0	4.5862385776344937E-4	1.49E-4
24.0	9.473214111179445E-4	3.14E-4
25.0	0.0018344954310537973	7.250000000000001E-4
26.0	0.0023532666799993386	0.0016470000000000002
27.0	0.003911084111615514	0.0033309999999999993
28.0	0.0057365574339919975	0.0060810000000000005
29.0	0.007762020832048936	0.010195
30.0	0.010154383316316634	0.015575000000000002
31.0	0.0121633061817985	0.021823000000000002
32.0	0.014581231307318582	0.028458
33.0	0.016722478433401047	0.034777999999999996
34.0	0.018522389114525143	0.04072200000000001
35.0	0.019952393339879377	0.046733
36.0	0.021256088043751214	0.052521
37.0	0.02205604834647303	0.058068999999999996
38.0	0.02294322236640888	0.062401
39.0	0.024034897516363847	0.066379
40.0	0.023995801712095487	0.062808
41.0	0.023819870592887867	0.055982000000000004
42.0	0.0237747600495013	0.051072
43.0	0.023343202517769793	0.047385000000000004
44.0	0.023397335169833673	0.043885999999999994
45.0	0.023080057681348142	0.040056
46.0	0.022131232585450647	0.036389
47.0	0.02221694261788513	0.031823000000000004
48.0	0.022468057976070363	0.027807000000000002
49.0	0.022222957357003338	0.024214
50.0	0.02253873116070932	0.020522000000000002
51.0	0.025216793753091955	0.017317
52.0	0.02053131198000701	0.014202
53.0	0.02318982667025546	0.011892
54.0	0.023974750125181757	0.009919
55.0	0.024499536113245506	0.008364
56.0	0.025075447383814037	0.007255999999999999
57.0	0.026601687435059612	0.006077
58.0	0.027637726248171145	0.0052759999999999994
59.0	0.028006129019161455	0.004577
60.0	0.028712860865551033	0.003935
61.0	0.028622639778777895	0.0033960000000000006
62.0	0.028712860865551033	0.002891
63.0	0.027738473128401147	0.002476
64.0	0.026570110054689015	0.0020139999999999997
65.0	0.025093491601168662	0.0016830000000000003
66.0	0.02310110926826188	0.0013750000000000001
67.0	0.020346358752122075	0.001061
68.0	0.018056246832863932	8.219999999999999E-4
69.0	0.015345103175331148	6.300000000000001E-4
70.0	0.013142204973287039	5.039999999999999E-4
71.0	0.010549852413338888	4.1E-4
72.0	0.00910330765540958	3.3099999999999997E-4
73.0	0.007473313354374895	2.5900000000000006E-4
74.0	0.006270365530733061	2.26E-4
75.0	0.0053907099346949695	1.9000000000000004E-4
76.0	0.004434366414899712	1.53E-4
77.0	0.0037922930140308828	1.18E-4
78.0	0.0033847944387722113	8.5E-5
79.0	0.0027998610595263694	4.800000000000001E-5
80.0	0.0022645492780057528	3.9000000000000006E-5
81.0	0.00174427434428066	3.3E-5
82.0	0.0013036947038718378	2.1000000000000002E-5
83.0	8.616113786834638E-4	6.999999999999999E-6
84.0	6.074886509391263E-4	4.9999999999999996E-6
85.0	3.9998015136090995E-4	0.0
86.0	2.5412272774433747E-4	0.0
87.0	1.3683531493925865E-4	0.0
88.0	1.052579345686605E-4	0.0
89.0	4.0599489047911903E-5	0.0
90.0	3.007369559104585E-5	0.0
91.0	1.8044217354627513E-5	0.0
92.0	7.5184238977614645E-6	0.0
93.0	1.5036847795522929E-6	0.0
94.0	1.5036847795522929E-6	0.0
95.0	0.0	0.0
96.0	1.5036847795522929E-6	0.0
97.0	0.0	0.0
98.0	0.0	0.0
99.0	1.5036847795522929E-6	0.0
100.0	4.511054338656878E-6	0.0
