#Coverage (X)	Coverage
1.0	1.7771472806236943
2.0	1.5802588556542077
3.0	1.4005224186542762
4.0	1.2438156952605652
5.0	1.106791582006096
6.0	0.9892390093058481
7.0	0.8890299422597963
8.0	0.8040471677174423
9.0	0.7320362151563131
10.0	0.6705965052790077
11.0	0.6175127319898763
12.0	0.5712703353654831
13.0	0.5308161500183672
14.0	0.4948298618818967
15.0	0.46225709304765417
16.0	0.43246954547039707
17.0	0.40518767244422804
18.0	0.3798480154818833
19.0	0.35629218903379467
20.0	0.3339904123821924
21.0	0.3129787883384836
22.0	0.2933525604235854
23.0	0.2749661351839734
24.0	0.25782424145137384
25.0	0.2417242669744013
26.0	0.22650997842814036
27.0	0.2122561883554539
28.0	0.19892154979181953
29.0	0.18641375957962225
30.0	0.17466358277239635
31.0	0.1635653178559977
32.0	0.15294460431725554
33.0	0.14273905795310782
34.0	0.1329739901384528
35.0	0.12356209936463358
36.0	0.11451429832021631
37.0	0.10580427530051395
38.0	0.09738534824879252
39.0	0.08929750004351433
40.0	0.08156310169627545
41.0	0.07418160757265468
42.0	0.0671405590198475
43.0	0.060497065774768544
44.0	0.054265799340967646
45.0	0.04846713007046333
46.0	0.04311733605706536
47.0	0.03821699324822703
48.0	0.033706475926052804
49.0	0.029648713928025927
50.0	0.025994842659727624
51.0	0.02273946640289637
